主字段,章节,等级,知识解析,拓展解析
肺主气-主呼吸之气,中医基础理论::藏象::五脏::肺,1,"总论::""诸气者，皆属于肺""""天气通于肺""<br>###原理::肺主气基于肺主呼吸机能；呼吸调匀是气生成和气机调畅的[[根本条件]]<br>###维持::肺主呼吸由肺气的[[宣发和肃降]]运动维系",关联::呼吸调节以[[肺肾]]最为相关
肺主气-主一身之气,中医基础理论::藏象::五脏::肺,1,"定义::""肺者，气之本也""<br>###生成::肺主一身之气生成体现于[[宗气]]生成<br>###运行::体现于对全身[[气机]]的调节作用",失常::肺呼吸功能失常→咳喘气逆或胸闷气喘；气虚→体倦乏力、少气懒言
肺主宣发,中医基础理论::藏象::五脏::肺,1,"定义::肺气向上的[[升宣]]和向外周的布散<br>###内容::①呼出体内浊气；②将脾转输的津液和精微布散全身——""上焦开发，宣五谷味，熏肤、充身、泽毛，若雾露之溉""；③宣发[[卫气]]于皮毛肌腠，调节腠理开合，排出汗液",失调::呼气不畅、胸闷咳喘、鼻塞喷嚏、恶寒无汗（卫气被遏、腠理闭塞）
肺主肃降,中医基础理论::藏象::五脏::肺,1,定义::肺气向下的[[通降]]和使呼吸道保持洁净<br>###内容::①吸入清气下纳于肾以资元气；②将津液精微向下布散，浊液下输肾或膀胱；③肃清肺和呼吸道内异物,"失调::呼吸短促或表浅、咳喘气逆、咳痰咯血<br>###名言::""肺苦气上逆""""诸气膹郁，皆属于肺"""
肺宣降协调,中医基础理论::藏象::五脏::肺,1,要点::肺为华盖之脏，其气以[[清肃下降]]为主<br>###气机::肺的气机运动包括升降出入,"特点::五版教材""肺主宣发肃降""为生理功能；八版、十版""肺气宣降""为生理特性"
肺主行水,中医基础理论::藏象::五脏::肺,1,"定义::肺气的宣发肃降运动推动、调节全身水液输布和排泄 = ""[[通调水道]]""<br>###别称::肺为[[水之上源]]——因肺居高位（华盖），参与调节全身水液代谢",宣发::津液和精微向上向外布散，输送到皮毛的水液在卫气推动下化为汗液排出<br>###肃降::浊液下输肾或膀胱<br>###依赖::肺通调水道有赖于肝主疏泄、脾之运化、肾气蒸化、三焦气化、腠理开合
肺主行水-治法,中医基础理论::藏象::五脏::肺,2,"开鬼门::[[宣肺利水]]法——宣通肺气、发汗利水治疗风水皮水<br>###提壶揭盖::宣肺或升提之方药通利小便——""[[开上源以利下流]]""",失调::肺主行水失调→津液代谢障碍：尿少、痰饮、浮肿
肺朝百脉,中医基础理论::藏象::五脏::肺,1,定义::全身血液通过百脉汇聚于肺，经肺呼吸进行体内外清浊之气交换，再将富有清气的血液通过百脉输送到全身<br>###功能::肺有[[辅心行血]]的作用,失常::肺气虚或壅塞不能辅心行血→心血瘀（心悸胸闷、唇舌青紫）
肺主治节,中医基础理论::藏象::五脏::肺,1,定义::肺气具有治理调节肺之呼吸及全身之气、血、津液的作用<br>###内容::①治理调节呼吸运动；②治理调节全身气机；③治理调节血液运行；④治理调节津液代谢,
肺生理特性,中医基础理论::藏象::五脏::肺,1,"华盖::肺在五脏六腑位置最高——①肺居高位，脏腑外卫；②肺主一身之表；③肺主一身之气<br>###娇脏::清虚娇嫩，易受邪侵——""[[治上焦如羽，非轻不举]]""<br>###喜润恶燥::燥易伤肺",
肺在体合皮,中医基础理论::藏象::五脏::肺,1,"肺对皮毛::①宣发卫气于皮毛；②宣发输布精气充养皮毛<br>###皮毛对肺::①宣散肺气，调节呼吸；②皮毛受邪，常内传于肺<br>###汗孔::又称""玄府""""气门""，不仅是排汗门户，还是体内外气体交换场所",十二皮部::按十二经脉在体表分布将皮肤分为十二部分，每条经脉濡养一部分皮肤<br>###腠理::肌肉和皮肤的纹理，与三焦相通，卫气充斥腠理之中控制开合
肺在窍为鼻,中医基础理论::藏象::五脏::肺,2,"定义::""鼻者，肺之官""<br>###机理::鼻的通气和嗅觉全赖于肺气的宣发——""肺气通于鼻，肺和则鼻能知臭香矣""","喉::喉为肺之门户，主司发音——""金破不鸣""""金实不鸣"""
肺志液时,中医基础理论::藏象::五脏::肺,3,"志::在志为[[忧（悲）]]——""悲则气消""<br>###液::在液为[[涕]]——润泽鼻窍，抵御外邪<br>###时::与[[秋]]气相通应",
肺藏魄,中医基础理论::藏象::五脏::肺,3,"定义::""魄""为与生俱来的本能感觉和动作<br>###名言::""并精而出入者谓之魄""""魄之为用，能动作，痛痒由之而觉也""",举例::新生儿啼哭、吮吸、四肢运动、耳听目视、肌肤触觉等
脾概述,中医基础理论::藏象::五脏::脾,1,别称::脾为[[孤脏]]、生痰之源；脾胃为仓廪之官、[[气血生化之源]]、[[后天之本]]<br>###五行::脾在五行属土，为[[阴中之至阴]]<br>###功能::①主[[运化]]；②主[[统血]]；③主[[升清]],特性::①脾气上升；②喜燥恶湿；③脾为孤脏，脾居中央灌四旁<br>###联系::在体合肌肉而主四肢，其华在唇，在窍为口，在志为思，在液为涎，在时为长夏或四时
脾运化食物,中医基础理论::藏象::五脏::脾,1,"定义::脾为后天之本，[[气血生化之源]]<br>###内涵::①脾能将水谷化为精微；②脾气转输精微<br>###途径::①上输心肺化生气血，通过心肺布散全身（""脾气散精，上归于肺""）；②向四周布散到其他脏腑（""脾为孤脏，中央土以灌四傍""）",机制::运化水谷机制：①脾气升清；②阳气温煦<br>###失调::脾失健运：腹胀、便溏、食欲不振、倦怠、消瘦
脾运化水液,中医基础理论::藏象::五脏::脾,1,"途径::①上输于肺由肺布散全身；②向四周布散；③小肠大肠部分水液经三焦下输膀胱；④在水液代谢中起[[枢纽]]作用<br>###名言::""水为至阴，其本在肾；水化于气，其标在脾；水惟畏土，其制在脾""","病理::""诸湿肿满，皆属于脾""""脾为生痰之源""<br>###治则::""治湿不治脾，非其治也""<br>###失调::①津亏；②津液代谢障碍（痰饮水湿）"
脾主统血,中医基础理论::藏象::五脏::脾,1,"定义::脾气统摄血液运行于脉中，不使其逸出于脉外<br>###机制::①脾藏营；②[[气的固摄作用]]的体现<br>###名言::""五脏六腑之血，全赖脾气统摄""",习惯::脾不统血与气不摄血机理一致，习惯将下部出血与肌肉出血称[[脾不统血]]<br>###失常::出血（时间长、色淡质稀，伴有气虚）
脾主升清,中医基础理论::藏象::五脏::脾,1,"定义::""升""指脾气运动以上升为主；""清""指水谷精微等营养物质；""升清""即精微吸收和上输心肺头目<br>###核心::""[[脾以升为健]]""""[[脾气主升]]""<br>###名言::""清气在下，则生飧泄；浊气在上，则生膑胀""","与胃对::脾的升清与胃的降浊（""胃宜降则和""）相对而言"
脾不升清与中气下陷,中医基础理论::藏象::五脏::脾,1,不升清::神疲乏力、头目眩晕、腹胀泄泻便溏、心悸气短、食少纳呆<br>###中气下陷::腹部坠胀、久泄脱肛，甚至[[内脏下垂]]（胃下垂、肾下垂、阴挺、脱肛）,内涵::五版教材认为脾主升清等同脾主升，包括：①脾气散精上归于肺；②脾气以升为健；③脾气升举内脏维持脏器恒定
脾生理特性,中医基础理论::藏象::五脏::脾,1,"喜燥恶湿::""脾生湿""""湿困脾""""脾恶湿""""脾燥则升""<br>###孤脏::脾居中央而灌四傍：①转输布散水谷精微；②脾胃为气机升降之[[枢纽]]",
脾在体合肉,中医基础理论::藏象::五脏::脾,1,"机理::""脾主身之肌肉""——四肢与肌肉依赖脾胃运化的水谷精微<br>###名言::""清阳实四肢""""四肢皆禀气于胃……必因于脾乃得禀也""<br>###依据::""[[治痿独取阳明]]""的理论依据",失调::脾胃运化障碍→肌肉瘦削、四肢软弱无力、倦怠甚至萎缩不用
脾窍华志液时,中医基础理论::藏象::五脏::脾,2,"窍::在窍为口——""脾气通于口，脾和则口能知五谷矣""<br>###华::其华在唇——口唇色泽反映气血盈亏和脾胃运化强弱<br>###志::在志为[[思]]——""思出于心，而脾应之""<br>###液::在液为[[涎]]——""涎出于脾而溢于胃""，保护润泽口腔，助食物咀嚼消化<br>###时::与[[长夏]]或四时之气相通应",区分::涎清稀，出自两颊，自口角流出（注意与唾比较）
肝概述,中医基础理论::藏象::五脏::肝,1,别称::肝为[[将军之官]]、罢极之本、[[血海]]、五脏之贼<br>###五行::肝在五行属木，为[[阴中之少阳]]<br>###功能::①主[[疏泄]]；②主[[藏血]],特性::①肝气升发；②肝为[[刚脏]]；③肝[[体阴而用阳]]；④喜条达而恶抑郁<br>###联系::在体合筋，其华在爪，在窍为目，在志为怒，在液为泪，在时为春
肝主疏泄-总论,中医基础理论::藏象::五脏::肝,1,定义::肝具有维持全身气机[[疏通畅达]]，通而不滞，散而不郁的作用<br>###根本::基本功能/中心环节：[[调畅气机]]<br>###反映::反映了肝为刚脏，主升、主动的生理特点,表现::①促进血液与津液运行输布；②促进脾胃运化和胆汁分泌排泄；③调畅精神志；④调节生殖
肝疏泄-调畅气机,中医基础理论::藏象::五脏::肝,1,定义::肝主疏泄功能的[[根本体现]]——肝气疏通畅达全身气机<br>###郁结::疏泄失职：情志抑郁、善太息、胸胁两乳少腹胀痛不舒<br>###亢逆::疏泄太过：急躁易怒、头痛头胀、面红目赤，甚则血随气逆吐血昏厥,"虚弱::疏泄不及：情志抑郁、胆怯、懈怠乏力、头晕目眩、两胁虚闷<br>###名言::""血之与气并走于上，则为大厥""""肝气虚则恐"""
肝疏泄-促进血行津布,中医基础理论::藏象::五脏::肝,1,血行::肝气疏泄畅达气机→气行则[[血行]]<br>###津布::气行则津液布散,血失常::①肝气郁→停滞为瘀（月经后期、痛经、闭经）；②肝气逆→血随气逆（吐血、崩漏）；③肝气虚→月经愆期<br>###津失常::滋生痰饮水湿→梅核气、痰核、瘿瘤、乳癖、水肿、鼓胀，可用疏肝理气治之
肝疏泄-脾胃运化,中医基础理论::藏象::五脏::肝,1,"协调::协调脾升胃降，调节脾胃气机升降<br>###犯脾::""[[肝脾不和]]""：影响脾气升清→腹胀腹泻<br>###犯胃::""[[肝胃不和]]""：影响胃气降泄→纳呆、脘胀、嗳气、呕吐",机理::木旺乘土
肝疏泄-胆汁,中医基础理论::藏象::五脏::肝,1,"生成::胆汁又称""精汁""，为肝之余气（精气）所化生<br>###排泄::胆汁贮存于胆，排泄进入小肠参与消化",郁结::肝气郁结→胆汁排泄障碍→厌食腹胀、胆汁郁积形成结石→胁痛黄疸<br>###亢逆::肝胆火旺→胆汁上溢→口苦、泛吐苦水
肝疏泄-调畅情志,中医基础理论::藏象::五脏::肝,1,"原理::适度情志活动以气机调畅、气血调和为重要条件<br>###调节::肝主疏泄畅达气机可调节情志<br>###名言::""血脉和利，精神乃居""",失常::情志抑郁闷闷不乐或性情急躁亢奋易怒；情志异常亦可影响肝气疏泄导致肝郁或亢逆
肝疏泄-调节生殖,中医基础理论::藏象::五脏::肝,1,"原理::男子排精、女子排卵行经是肝主疏泄与肝主闭藏（肾）相互协调的结果<br>###名言::""主闭藏者肾也，可疏泄者肝也""","男::失常→精瘀、梦遗<br>###女::失常→月经后期量少经行不畅、痛经或月经先期量多崩漏；""[[女子以肝为先天]]"""
肝藏血-贮藏血液,中医基础理论::藏象::五脏::肝,1,潜养::潜养肝及其形体官窍<br>###经血::为经血之源——肝与冲脉并称[[血海]]<br>###涵养::化生和涵养肝气；化生和濡养[[魂]],"名言::""肝受血而能视，足受血而能步，掌受血而能握，指受血而能摄""<br>###失调::筋→麻木、拘挛、颤动；目→干涩、眼花；爪→脆薄干枯易折断"
肝藏血-调节血量与防止出血,中医基础理论::藏象::五脏::肝,1,"调节::""人卧则血归于肝""""人动则血运于诸经，人静则血归于肝脏""<br>###防出血::机理：①肝能收摄血液；②肝气疏泄适度调畅气机；③肝主凝血",不藏血病机::①肝气虚弱；②肝火亢盛；③肝阴不足<br>###不藏血变化::①肝血不足；②出血（血不循经）
肝生理特性,中医基础理论::藏象::五脏::肝,1,刚脏::五脏之贼——①特性柔和舒展；②肝气疏泄；③内寄相火，主升主动<br>###体阴用阳::肝主疏泄其用属阳，肝主藏血其体属阴——临床多表现肝阴肝血虚而肝阳上亢<br>###条达::喜条达而恶抑郁,最能体现::最能体现肝的生理特点的是[[肝为刚脏，主升主动]]，反映此特点的生理功能为[[肝主疏泄]]
肝在体合筋,中医基础理论::藏象::五脏::肝,1,"定义::""诸筋者，皆属于节""，爪为筋之余<br>###机理::肝为""[[罢极之本]]""——肢体筋腱有力、关节屈伸灵活取决于津液濡润、血量充足、血行流畅",功能::筋：连接关节、肌肉，主司关节运动
肝在窍为目,中医基础理论::藏象::五脏::肝,1,"机理::目的视觉机能主要依赖[[肝血]]的濡养与[[肝气]]的疏泄<br>###经络::肝足厥阴经上行连目系<br>###名言::""五脏六腑之精气，皆上注于目而为之精""",病理::肝阴血不足→两目干涩视物不清夜盲；肝经风热→目赤痒痛；肝火上炎→目赤生翳；肝阳上亢→头目眩晕；肝风内动→目斜上视
五轮学说,中医基础理论::藏象::五脏::肝,2,定义::将眼目不同部位分属五脏<br>###分配::[[风轮]]（黑睛）属肝；[[血轮]]（内外眦血络）属心；[[气轮]]（白睛）属肺；[[水轮]]（瞳仁）属肾；[[肉轮]]（眼睑）属脾,"原文::""骨之精为瞳子，筋之精为黑眼，血之精为络，其窠气之精为白眼，肌肉之精为约束"""
肝志液时,中医基础理论::藏象::五脏::肝,2,志::在志为[[怒]]——大怒引起肝气上逆，面红目赤、头胀头痛，甚则呕血昏厥<br>###液::在液为[[泪]]——由肝精肝血经肝气疏泄于目而化生<br>###时::与[[春]]气相通应,"名言::""阳气者，大怒则形气绝，而血菀于上，使人薄厥""""肝气虚则恐，实则怒"""
肝藏魂,中医基础理论::藏象::五脏::肝,3,"定义::""随神往来者谓之魂""——肝主意识、思维活动以及梦幻活动<br>###机理::肝藏血，血舍魂——魂由肝血化生和涵养",失调::肝血不足→失眠多梦、梦魇梦游、幻觉；肝火亢盛→狂乱烦躁、夜寐不安
肾概述,中医基础理论::藏象::五脏::肾,1,别称::肾为[[作强之官]]、[[先天之本]]、五脏阴阳之本、水火之宅、封藏之本、气之根、水脏<br>###五行::肾在五行属水，为[[阴中之太阴]]<br>###功能::①主[[藏精]]；②主水；③主[[纳气]]；④主一身之阴阳,特性::①主封藏守位；②肾气上升；③肾恶燥；④肾为水火之宅，脏腑阴阳之本<br>###联系::在体合骨，生髓，通脑，其华在发，在窍为耳及二阴，在志为恐，在液为唾，在时为冬
肾藏精-总论,中医基础理论::藏象::五脏::肾,1,"定义::肾具有贮存、[[封藏]]精气的作用<br>###来源::包括""[[先天之精]]""和""[[后天之精]]""<br>###关系::①肾精以先天之精为基础，后天之精为辅助；②后天之精有赖于水谷之精，亦赖于""五脏六腑之精而藏之""","名言::""肾者主水，受五脏六腑之精而藏之，故五脏盛乃能泻""——藏中有泻"
肾藏精-生长发育与生殖,中医基础理论::藏象::五脏::肾,1,总论::肾中精气具有促进机体生长、发育和逐步具备生殖的能力<br>###天癸::【[*天癸::肾精及肾气充盈到一定程度产生的促进生殖功能成熟的物质*]]——男子排精、女子排卵月经来潮，具备生殖能力<br>###标志::齿、骨、发的生长状况可作为观察肾中精气的标志,失调::小儿→五迟五软；成人→早衰、耳鸣耳聋、齿摇发脱<br>###关系::人的生、长、壮、老、已与肾精气盛衰密切相关
肾藏精-脏腑之本,中医基础理论::藏象::五脏::肾,1,"地位::肾为""[[脏腑之本]]，十二脉之根，呼吸之本，三焦之源""<br>###肾阳::""五脏之阳气，非此不能发""——肾阳为脏腑阳之本<br>###肾阴::""五脏之阴气，非此不能滋""——肾阴为脏腑阴之本","总称::肾阴肾阳又称为""[[五脏阴阳之本]]"""
肾藏精-主髓化血与抵御外邪,中医基础理论::藏象::五脏::肾,2,"化血::肾精生髓→髓充于骨→骨中精化为生血之源——""血之源头在乎肾""<br>###抵御::肾精保卫机体、抵御外邪——""精者，身之本也""""足于精者，百病不生""",藏中有泻::①流溢脏腑化生脏腑之精；②泻溢精气以为生殖之用；③藏精起亟以备应急之需
肾主水,中医基础理论::藏象::五脏::肾,1,"定义::""肾者水脏，主津液""<br>###气化::肾中精气的蒸腾气化主宰着整个津液代谢<br>###膀胱::尿液生成和排泄都必须依赖肾气的蒸腾气化作用","胃关::""[[肾者胃之关]]""——肾中精气蒸腾气化作用<br>###失调关::肾阳虚→关门不利→尿少、小便不利、水肿<br>###失调开::气不化水→小便清长、尿量增多；肾气虚衰→尿失禁"
肾主纳气,中医基础理论::藏象::五脏::肾,1,"定义::肾摄纳肺所吸入的清气，防止呼吸表浅，保持吸气深度<br>###原理::肾主纳气是肾的[[封藏作用]]在呼吸运动的体现<br>###名言::""肺为气之主，[[肾为气之根]]""""呼出心与肺，吸入肾与肝""",失调::肾不纳气：呼吸表浅，或呼多吸少，动则气喘
肾主一身阴阳,中医基础理论::藏象::五脏::肾,1,"定义::""肾为[[水火之宅]]，寓真阴而涵真阳""<br>###地位::肾阴肾阳为[[五脏阴阳之本]]，肾为阴阳之根、脏腑之本",
肾生理特性-主封藏守位,中医基础理论::藏象::五脏::肾,1,封藏::最具有生理意义的是固摄精气，防止精气无故流失——与生长发育生殖关系最密切<br>###守位::肾中相火涵于肾中，潜藏不露，发挥温煦推动作用,少壮火::【[*少火::生理状态下各脏腑的阳气*]]；【[*壮火::病理状态下各脏腑的亢盛之火*]]<br>###君相火::【[*君火::心火*]]；【[*相火::其他脏腑之火*]]——雷火为肝之相火，龙火为肾之相火
肾生理特性-水火宅与恶燥,中医基础理论::藏象::五脏::肾,2,"水火宅::肾为水火之宅，脏腑阴阳之本<br>###肾气升::肾位在下，其气当升——肾阳鼓动肾阴与心气交感互济，维持人体阴阳水火协调<br>###恶燥::肾为水脏，易燥伤阴液——""热邪不燥胃津，必耗肾液""",
肾在体合骨,中医基础理论::藏象::五脏::肾,1,定义::在体合骨，生髓，荣齿，其华在发<br>###骨::肾藏精生髓而充养骨骼——肾精不足→小儿囟门迟闭、骨软无力；老年骨质脆弱易骨折<br>###齿::齿为骨之余，肾之标，骨之本,髓::脑为[[髓之海]]，骨为髓之府，诸髓者皆属于脑
肾其华在发,中医基础理论::藏象::五脏::肾,2,"定义::发之色泽荣枯是肾脏功能的反映<br>###机理::""发为血之余""——发的生长赖精血以养<br>###失调::肾精肾气不足→牙齿松动脱落、未老先衰、头发枯萎早脱早白",望诊::温热病中望齿的润燥和有无光泽，是判断肾精及津液盛衰的重要标志
肾在窍为耳,中医基础理论::藏象::五脏::肾,2,"机理::肾精濡养于耳维持听觉功能——""肾气通于耳，肾和则耳能闻五音矣""<br>###失调::肾精肾气虚衰→听力减退、耳鸣、甚则耳聋",
肾在窍为二阴,中医基础理论::藏象::五脏::肾,2,前阴::排尿和生殖——尿液生成排泄依赖肾气蒸化和固摄作用协调；生殖功能与肾精肾气密切相关<br>###后阴::排泄粪便——肾阴不足→便秘；肾阳虚→泄泻或便秘；肾气虚衰→久泄滑脱,"肛门::又称""魄门""——""魄门亦为五脏使，水谷不得久藏""，启闭与五脏相关"
肾志液时,中医基础理论::藏象::五脏::肾,2,"志::在志为[[恐]]——""恐则气下""""恐伤肾""→二便失禁、遗精滑精<br>###液::在液为[[唾]]——稠厚，由肾精所生，出自舌下。多唾或久唾易耗伤肾中精气<br>###时::与[[冬]]气相通应",区分::唾：稠厚，出自舌下（肾精所化）；涎：清稀，出自两颊（脾精所化）<br>###惊恐::惊为不自知事出突然受惊（惊则气乱）；恐为自知多自内生（恐则气下）
肾藏志,中医基础理论::藏象::五脏::肾,3,"定义::肾主意志和记忆——""意之所存谓之志""""肾藏精，精舍志""<br>###失调::意志消沉、情感淡漠、记忆能力下降、精神萎靡不振、神情呆滞、健忘痴呆","名言::""肾盛怒而不止则伤志，志伤则喜忘其前言"""
肾功能小结,中医基础理论::藏象::五脏::肾,1,核心::[[藏精]]是肾最基本功能<br>###延伸::主生长发育和生殖、主水、主纳气等功能是藏精功能的延伸,
上古天真论-女子,中医基础理论::藏象::五脏::肾,1,二七::天癸至，任脉通，太冲脉盛，月事以时下，故有子<br>###三七::肾气平均，真牙生而长极<br>###四七::筋骨坚，发长极，身体盛壮<br>###五七::阳明脉衰，面始焦，发始堕,六七::三阳脉衰于上，面皆焦，发始白<br>###七七::任脉虚，太冲脉衰少，天癸竭，地道不通，故形坏而无子
上古天真论-男子,中医基础理论::藏象::五脏::肾,1,二八::肾气盛，天癸至，精气溢泻，阴阳和，故能有子<br>###三八::肾气平均，筋骨劲强，真牙生而长极<br>###四八::筋骨隆盛，肌肉满壮<br>###五八::肾气衰，发堕齿槁,六八::阳气衰竭于上，面焦，发鬓斑白<br>###七八::肝气衰，筋不能动，天癸竭，精少，肾藏衰，形体皆极<br>###八八::则齿发去
命门,中医基础理论::藏象::五脏::肾,2,"内经::命门者，[[目]]也<br>###难经::""肾两者，非皆肾也，其左为肾，右为命门""——[[右肾]]为命门<br>###滑寿虞传::[[两肾]]总号为命门","赵献可::《医贯》——命门在[[两肾之间]]""七节之旁中有小心""<br>###张介宾::《景岳全书》——命门为[[子宫精室，水火之宅]]，""命门为元气之根，为水火之宅""<br>###孙一奎::《医旨绪余》——命门乃两肾中间之[[动气]]"
涎与唾区别,中医基础理论::藏象::五脏::综合对照,1,涎::质地较[[清稀]]，由[[脾]]主运化化生，出自两颊，自口角流出——脾在液为涎<br>###唾::质地较[[稠厚]]，由[[肾]]精气化生，出自舌下——肾在液为唾,涎功能::保护清洁口腔，湿润溶解食物，使之易于吞咽消化<br>###唾功能::溶解食物利吞咽，保护滋润口腔，还有滋养肾中精气的作用
六腑总论,中医基础理论::藏象::六腑::概述,1,"概念::胆、胃、大肠、小肠、膀胱、三焦的总称<br>###功能::[[受盛传化水谷]]——主持饮食受纳、消化、吸收和糟粕传导排泄<br>###特点::""[[泻而不藏]]，[[实而不能满]]""<br>###运动::""六腑以通为用，以降为顺，[[降中寓升]]""",注意::传化之府指胃、大肠、小肠、三焦、膀胱，不包括胆
七冲门,中医基础理论::藏象::六腑::概述,2,定义::消化道的七道门户，出自《难经·四十四难》<br>###内容::唇为飞门、齿为[[户门]]、会厌为吸门、胃为[[贲门]]、太仓下口为[[幽门]]、大肠小肠会为[[阑门]]、下极为[[魄门]],"魄门::""[[魄门亦为五藏使]]""——肛门启闭依赖心神主宰、肝气条达、脾气升提、肺气宣降、肾气固摄"
胆概述,中医基础理论::藏象::六腑::胆,1,别名::[[中精之府]]、清净之府、[[中正之官]]<br>###特殊::胆既是六腑又是奇恒之腑——中空似腑，排泄胆汁参与消化；但内盛[[精汁]]又似五脏藏精,原因::胆无传化饮食糟粕的功能，且为中清之府，似脏非脏、似腑非腑
胆贮藏排泄胆汁,中医基础理论::藏象::六腑::胆,1,"生成::胆汁由[[肝之精气]]化生汇聚而成，又称""精汁""<br>###功能::贮存于胆囊，排泄进入小肠参与饮食物消化吸收，依赖肝的疏泄完成",病理::①胆汁排泄受阻→胁下胀满、食欲不振、厌油腻；②湿热蕴结肝胆→胆汁外溢→[[黄疸]]（目黄、身黄、小便黄）；③胆气上逆→口苦、呕吐黄绿苦水
胆主决断,中医基础理论::藏象::六腑::胆,1,"定义::胆具有对事物进行判断、做出决定的功能——""胆者，中正之官，决断出焉""<br>###依据::决断能力取决于[[胆气强弱]]",病理::①胆火盛→口苦、烦躁易怒、胁痛；②肝胆气虚/心胆气虚→胆怯易惊、善恐、遇事不决、失眠多梦；③胆虚痰扰→口苦呕逆、惊悸不宁
胆生理特性,中医基础理论::藏象::六腑::胆,2,"下降::胆气以下降为顺——胆汁宜降<br>###主升::胆禀少阳春升之气——""胆气春升，则余脏从之""<br>###静谧::性喜静谧，喜宁谧而恶扰烦","注意::""胆气主升""和""胆气以下降为顺""出自不同教材，从不同角度概括胆的生理特征"
胃概述,中医基础理论::藏象::六腑::胃,1,别名::[[太仓]]、[[水谷之海]]、水谷气血之海<br>###功能::①主[[受纳]]水谷；②主[[腐熟]]水谷<br>###机理::【受纳】接受容纳饮食水谷；【腐熟】胃气将饮食物初步消化形成食糜,病理::受纳与腐熟失常→食欲不振、消化不良、胃脘胀痛
胃主通降,中医基础理论::藏象::六腑::胃,1,定义::胃气具有向[[下]]运动以维持胃肠道通畅的生理特性<br>###体现::①饮食物入胃容纳水谷；②食糜下传小肠；③食物残渣下传大肠排出<br>###枢纽::脾胃是脏腑气机升降之[[枢纽]]——脾气升则肝肾之气皆升，胃气降则心肺之气皆降,"病理::①胃气不降→纳呆脘闷、大便秘结；②胃气上逆→嗳气酸腐、恶心呕吐呃逆；③浊气在上→口臭<br>###名言::""[[胃不和则卧不安]]""——胃气不降影响心火和肺气下降"
胃喜润恶燥,中医基础理论::藏象::六腑::胃,1,定义::胃为[[阳明燥土]]之腑，需胃中津液滋润以维持受纳腐熟功能和通降下行<br>###治则::用苦寒泻下应[[中病即止]]，以免化燥伤阴,
小肠概述,中医基础理论::藏象::六腑::小肠,1,别名::[[受盛之官]]<br>###功能::①主[[受盛化物]]；②主[[泌别清浊]]；③小肠主液<br>###特性::[[升清降浊]],
小肠受盛化物,中医基础理论::藏象::六腑::小肠,1,"受盛::接受由胃下移之食糜而容纳<br>###化物::食糜在小肠内由脾气与小肠共同作用进一步消化，化为精微和糟粕两部分<br>###名言::""受盛之官，化物出焉""",病理::受盛失常→腹部胀闷疼痛；化物失常→消化吸收障碍、腹泻便溏、完谷不化
小肠泌别清浊,中医基础理论::藏象::六腑::小肠,1,清者::精微部分（谷精和津液），由小肠吸收，经脾气输转全身<br>###浊者::食物残渣经阑门传送到大肠形成粪便；水液经三焦下渗膀胱形成尿液<br>###本质::小肠泌别清浊实际为脾升胃降的[[具体体现]],"病理::清浊不分→尿少而便溏泄泻<br>###应用::""[[利小肠所以实大便]]""——小肠内水液多少与尿量有关，体现""小肠主液"""
小肠主液,中医基础理论::藏象::六腑::小肠,1,定义::小肠在吸收谷精的同时吸收大量[[津液]]<br>###途径::①吸收津液与谷精合为水谷之精由脾气输转全身；②部分水液经三焦下渗膀胱生成尿液,"病理::""小肠主液……小肠热结则液燥""——小肠实热→小便短赤灼涩痛，甚则尿血"
大肠概述,中医基础理论::藏象::六腑::大肠,1,别名::[[传导之官]]<br>###功能::①主[[传导糟粕]]；②主[[津]]<br>###特性::以[[通降]]为顺，传导有度,
大肠传导糟粕,中医基础理论::藏象::六腑::大肠,1,功能::接受小肠下移的食物残渣，吸收水分，形成糟粕，经肛门排泄粪便<br>###关联::与胃气通降、肺气肃降、脾气运化、肾气推动和固摄有关,病理::传导失常→大便秘结或泄泻；湿热蕴结→腹痛、里急后重、下痢脓血
大肠主津,中医基础理论::藏象::六腑::大肠,2,定义::大肠接受食物残渣，吸收水分，参与体内津液代谢<br>###病理::津液不吸收→肠鸣腹痛泄泻；实热消烁津液→大便秘结不通,
膀胱概述,中医基础理论::藏象::六腑::膀胱,1,别名::[[州都之官]]、津液之府、尿腑、净腑、水腑<br>###功能::①贮藏尿液；②排泄尿液<br>###特性::司[[开合]],
膀胱贮尿排尿,中医基础理论::藏象::六腑::膀胱,1,"贮尿::津液代谢后浊液下归膀胱——贮藏有赖于肾气及膀胱之气的[[固摄]]<br>###排尿::肾气及膀胱气化作用调节——气化正常则膀胱开合有度<br>###名言::""膀胱者，州都之官，津液藏焉，[[气化则能出矣]]""","病理::肾气失固→合少开多→夜尿多、遗尿、尿失禁；气化失常→开少合多→小便不利或癃闭<br>###名言::""膀胱不利为[[癃]]，不约为[[遗尿]]"""
三焦概述,中医基础理论::藏象::六腑::三焦,1,"地位::三焦为""[[孤腑]]""——脏腑之中惟三焦最大，无与匹配<br>###别名::决渎之官、原气之别使<br>###功能::①通行[[诸气]]；②运行[[津液]]","名言::""三焦者，决渎之官，[[水道出焉]]""""三焦者，[[原气之别使]]也"""
