ID,Chapter,Question,Type,Options,Answer,ClozeText,AnswerText,Analysis,Refrence
recuNmjdrat7oU,伤寒论篇::一级,1. 下列属《伤寒论》流传的版本有,多选题,宋本《伤寒论》||宋本《金匮玉函经》||宋本《金匮要略》||《千金翼方》||《注解伤寒论》,ABDE,,,本题考察《伤寒论》的流传版本。宋本《伤寒论》（A）为宋代校正医书局校定本，是主流版本；《金匮玉函经》（B）为《伤寒论》别本，内容相近但独立成书；《千金翼方》（D）收录了《伤寒论》部分内容，属早期传本；《注解伤寒论》（E）为金代成无己的注释本，是重要传承版本。而《金匮要略》（C）是张仲景另一部独立著作，与《伤寒论》并列，故不属于其流传版本。,《伤寒论》版本源流可参考《注解伤寒论·序》及《金匮玉函经·序》，宋代校正医书局校定《伤寒论》《金匮玉函经》并刊行；孙思邈《千金翼方》卷九、卷十载录《伤寒论》内容；成无己《注解伤寒论》为现存最早全注本。
recuNmjdraZcfX,伤寒论篇::一级,2. 外感疾病的传变与否，主要因素是,多选题,正气的强弱||感邪的轻重||治疗的当否||日数的多少||患病的季节,ABC,,,外感疾病的传变主要与正气强弱（A）、感邪轻重（B）及治疗是否恰当（C）相关。正气不足则邪气易深入，邪盛则病势易进展，正确治疗可截断传变。日数（D）和季节（E）虽可能影响病程阶段或病邪性质，但非决定传变的核心因素。,《素问·评热病论》云：“邪之所凑，其气必虚”；《伤寒论》强调“观其脉证，知犯何逆，随证治之”，体现正邪关系及治疗的重要性；《灵枢·百病始生》言：“风雨寒热，不得虚，邪不能独伤人”，亦呼应正邪相争之理。
recuNmjdracVIs,伤寒论篇::一级,3. 太阳中风与太阳伤寒的区别主要在于,多选题,伤于风邪，或是伤于寒邪||脉浮缓，或是脉浮紧||身痛，或鼻鸣干呕||有汗，或是无汗||咳嗽，或是喘息,BD,,,太阳中风与太阳伤寒均属太阳病，但中风以风邪为主，病机为卫强营弱，表现为脉浮缓、自汗出；伤寒以寒邪为主，卫阳被遏，营阴郁滞，故脉浮紧、无汗。两者核心区别在于脉象与汗出情况，故选B、D。A项病因虽不同，但经典中更强调症状差异；C、E项为次要症状，非主要鉴别点。,《伤寒论·辨太阳病脉证并治》：“太阳病，发热，汗出，恶风，脉缓者，名为中风。”“太阳病，或已发热，或未发热，必恶寒，体痛，呕逆，脉阴阳俱紧者，名为伤寒。”
recuNmjdra2tRP,伤寒论篇::一级,4. 太阳伤寒与太阳温病的鉴别点主要是,多选题,脉浮紧与脉浮缓||恶寒发热与发热不恶寒||身痛与咳嗽||不渴与口渴||鼻塞与咽痛,BD,,,太阳伤寒为外感风寒，卫阳被遏，故恶寒发热（选项B中“恶寒发热”对应伤寒）；寒性收引，津液未伤，故口不渴（选项D中“不渴”对应伤寒）。太阳温病为外感温邪，热邪伤津，故发热不恶寒（选项B中“发热不恶寒”对应温病）且口渴（选项D中“口渴”对应温病）。其他选项如脉象、身痛咳嗽等或与其他证型混淆，或非主要鉴别点。,《伤寒论》第3条：“太阳病，或已发热，或未发热，必恶寒，体痛，呕逆，脉阴阳俱紧者，名为伤寒。”第6条：“太阳病，发热而渴，不恶寒者，为温病。”
recuNmjdraq0wE,伤寒论篇::一级,5. 太阳温病的主症有,多选题,发热||不恶寒||身重||口渴||脉浮数,ABDE,,,太阳温病为外感温热之邪所致，其特点为初起即热象明显。根据《伤寒论》原文，温病主症包括发热（A）、口渴（D）、不恶寒（B），而脉浮数（E）为温邪在表的典型脉象。身重（C）多见于湿邪或寒湿证，非温病主症，故排除。,《伤寒论》第6条：“太阳病，发热而渴，不恶寒者，为温病。”
recuNmjdraq7rZ,伤寒论篇::一级,6. 太阳表证的脉象能见到,多选题,浮紧||浮数||浮缓||洪大||沉迟,ABCD,,,太阳表证为外感病初期，脉象以浮为主。A（浮紧）见于太阳伤寒（寒邪束表），B（浮数）见于太阳温病（热邪在表），C（浮缓）见于太阳中风（营卫不和），D（洪大）可见于表邪未解而里热已盛或传变阳明时的脉象。E（沉迟）属里虚寒，与表证无关。,《伤寒论·辨太阳病脉证并治》：“太阳之为病，脉浮，头项强痛而恶寒。”太阳中风“阳浮而阴弱”（浮缓），太阳伤寒“脉阴阳俱紧”（浮紧）。《温病条辨》载风热表证脉浮数，洪大脉可见于阳明热盛（如白虎汤证）。
recuNmjdra0ErD,伤寒论篇::一级,7. 下列属桂枝汤证病机的有,多选题,阳浮而阴弱||外不谐，卫气不共营气谐和||表不解，阳气怫郁不得外越||表不解，阳气重故也||卫不固外，营不内守,ABE,,,桂枝汤证病机为外感风寒表虚证，核心在于营卫不和。A“阳浮而阴弱”指卫阳浮盛于外（阳浮），营阴不能内守（阴弱），见于《伤寒论》第12条。B“外不谐，卫气不共营气谐和”直接描述营卫失调，出自《伤寒论》第53、54条。E“卫不固外，营不内守”是对营卫不和的进一步概括，强调卫失固护、营阴外泄。C、D涉及阳气怫郁或阳气重，属麻黄汤类证，非桂枝汤证。\n,A出自《伤寒论·辨太阳病脉证并治上》第12条：“太阳中风，阳浮而阴弱，阳浮者热自发，阴弱者汗自出。”B出自《伤寒论》第53条：“病常自汗出者，此为荣气和，荣气和者，外不谐，以卫气不共荣气谐和故尔。”E为对桂枝汤证的病机概括，源于营卫失调的核心理论。
recuNmjdrasRpc,伤寒论篇::一级,8. 《伤寒论》中第12条之“阳浮而阴弱” 其义为,多选题,热邪亢盛而浮，阴液下夺而弱||浮缓之脉，轻按则浮，重按见弱||阳气虚衰，外越而浮，阴血大伤，不足而弱||卫气浮盛于外，与邪抗争故浮，营阴不能内守而外泄故弱||脉轻按(浮取)为阳，重按(沉取)为阴,BDE,,,在《伤寒论》第12条中，“阳浮而阴弱”可从脉象与病机两方面理解。选项B（浮缓之脉，轻按则浮，重按见弱）对应脉象特征，太阳中风证脉浮缓，轻取明显，沉取不足；选项D（卫气浮盛于外，营阴外泄）为病机解释，卫阳抗邪外浮而发热，营阴不固而汗出；选项E（脉浮取为阳，沉取为阴）是脉诊阴阳划分的理论依据。A（热邪亢盛，阴液下夺）与C（阳气虚衰，阴血大伤）均偏离太阳中风证的病机，故排除。,《伤寒论》第12条 “太阳中风，阳浮而阴弱，阳浮者，热自发；阴弱者，汗自出。啬啬恶寒，淅淅恶风，翕翕发热，鼻鸣干呕者，桂枝汤主之。”
recuNmjdraWjY2,伤寒论篇::一级,9. 太阳表虚证的脉象可见有,多选题,脉浮数||脉浮缓||脉浮弱||脉阴阳俱浮||脉阴阳俱紧,ABC,,,太阳表虚证（太阳中风证）以营卫不和、腠理疏松为特点，脉象主浮缓（B），因风邪袭表，卫阳浮盛于外，营阴失守于内。脉浮弱（C）可见于表虚兼正气不足，而浮数（A）则见于表证未解且伴发热时，如《伤寒论》第57条“脉浮数者”仍用桂枝汤。D（阴阳俱浮）属温病，E（阴阳俱紧）属太阳伤寒，均非表虚证。,《伤寒论》第12条：“太阳中风，阳浮而阴弱，阳浮者，热自发，阴弱者，汗自出……”；第57条：“伤寒发汗已解……脉浮数者，可更发汗，宜桂枝汤。”
recuNmjdrav1FE,伤寒论篇::一级,10. 桂枝汤可用于治疗,多选题,太阳病脉浮者||太阳病，下之后，脉促胸满者||太阳病，下之后，其气上冲者||太阳病，下之微喘者，表未解也||太阳病，发汗后，身疼痛，脉沉，迟者,AC,,,桂枝汤主治太阳中风证，以脉浮缓、发热、汗出、恶风为特征。选项A中“太阳病脉浮者”若伴表虚汗出，可用桂枝汤；选项C中“下之后其气上冲”是表邪未解，正气抗邪的表现，符合《伤寒论》第15条原文。B、D、E均因误治后出现变证，需用桂枝汤加减方（如去芍药、加厚朴杏子或新加汤等），非原方所主。,"  
A对应太阳病表证未解，脉浮为表证主脉。  
C对应《伤寒论》第15条：“太阳病，下之后，其气上冲者，可与桂枝汤。”  
B见第21条用桂枝去芍药汤；D见第43条用桂枝加厚朴杏子汤；E见第62条用桂枝新加汤。"
recuNmjdraCOr5,伤寒论篇::一级,11. 桂枝汤煎服法的内容是,多选题,水煎，温分三服，饮热稀粥一杯||温覆，取遍身微似有汗||一服汗出病瘥，止后服||若病不除，可续服，并缩短给药时间，直至病愈||禁生冷、黏滑、肉面、五辛、酒酪、臭恶等物,ABCDE,,,桂枝汤的煎服法在《伤寒论》中详细记载。选项A对应“服已须臾，啜热稀粥一升余，以助药力”，B对应“温覆令一时许，遍身漐漐微似有汗者益佳”，C对应“若一服汗出病差，停后服，不必尽剂”，D对应“若不汗，更服依前法……服一剂尽，病证犹在者，更作服……若汗不出，乃服至二三剂”，E对应“禁生冷、黏滑、肉面、五辛、酒酪、臭恶等物”，故ABCDE均正确。,出自《伤寒论·辨太阳病脉证并治》桂枝汤方后注：“服已须臾，啜热稀粥一升余，以助药力。温覆令一时许，遍身漐漐微似有汗者益佳……若一服汗出病差，停后服，不必尽剂。若不汗，更服依前法……服一剂尽，病证犹在者，更作服……若汗不出，乃服至二三剂。禁生冷、黏滑、肉面、五辛、酒酪、臭恶等物。”
recuNmjdraf2yF,伤寒论篇::一级,12. 桂枝加厚朴杏子汤的主要作用是,多选题,解肌祛风||宣肺化痰||降气平喘||宣肺平喘||辛温发汗,AC,,,桂枝加厚朴杏子汤由桂枝汤加厚朴、杏仁组成。桂枝汤解肌祛风（A），调和营卫；加厚朴、杏仁则降气平喘（C）。虽原方治表证兼喘，但厚朴、杏仁侧重降气而非宣肺，故D不选。B、E非核心作用。,《伤寒论》第18条：“喘家作，桂枝加厚朴杏子佳。”第43条：“太阳病，下之微喘者，表未解故也，桂枝加厚朴杏子汤主之。”
recuNmjdralxep,伤寒论篇::一级,13. 葛根汤主治的证候有,多选题,项背强几几||下利||恶寒、发热、头痛、无汗、脉浮紧||呕吐||发热不恶寒,ABC,,,葛根汤主治太阳伤寒表实证兼项背强痛或太阳阳明合病下利。选项A项背强几几是葛根汤的典型症状；B下利对应太阳阳明合病下利；C恶寒、发热、头痛、无汗、脉浮紧为太阳伤寒表实证表现，均属葛根汤证。D呕吐非葛根汤主症（葛根加半夏汤主之）；E发热不恶寒为阳明里热，与葛根汤证表寒矛盾。,《伤寒论·辨太阳病脉证并治》第31条：“太阳病，项背强几几，无汗恶风，葛根汤主之。”第32条：“太阳与阳明合病者，必自下利，葛根汤主之。”
recuNmjdragOPP,伤寒论篇::一级,14. 葛根汤证的病机特点有,多选题,外感风寒||表实||表里同病，表寒里热||太阳经输不利||外寒内饮,ABD,,,葛根汤证为外感风寒表实证，因寒邪束表，卫阳被遏，营阴郁滞，故见无汗、恶寒等表实之象；同时，风寒之邪侵袭太阳经输，导致经气不利，气血运行受阻，故见项背强急不舒。其病机特点包括外感风寒（A）、表实（B）、太阳经输不利（D）。选项C（表里同病，表寒里热）多见于大青龙汤证，E（外寒内饮）为小青龙汤证，均非葛根汤证病机。,《伤寒论·辨太阳病脉证并治》：“太阳病，项背强几几，无汗恶风，葛根汤主之。”
recuNmjdra4OX8,伤寒论篇::一级,15. 葛根汤的药物组成，正确的是,多选题,桂枝汤加葛根、麻黄||麻黄汤加葛根||麻黄汤加葛根、生姜、大枣||桂枝加葛根汤再加麻黄||麻黄汤加桂枝,AD,,,葛根汤出自《伤寒论》，由桂枝汤（桂枝、芍药、生姜、大枣、甘草）加葛根和麻黄组成，对应选项A。此外，桂枝加葛根汤原用于有汗证，而葛根汤用于无汗证，故需再加麻黄，对应选项D。选项B、C因含杏仁（麻黄汤成分）错误，E不符合组方逻辑。,《伤寒论》
recuNmjdraSxWj,伤寒论篇::一级,16. 下列大青龙汤药物组成的提法，正确的是,多选题,麻黄汤加石膏||桂枝二越婢一汤去芍药加杏仁||桂枝汤加麻黄、石膏||麻黄汤加石膏、生姜、大枣||小青龙汤加石膏,BD,,,大青龙汤出自《伤寒论》，主治外感风寒兼有内热之证。其组成是在麻黄汤（麻黄、桂枝、杏仁、甘草）基础上加石膏以清内热，同时加生姜、大枣以调和营卫，故D正确。而桂枝二越婢一汤为桂枝汤与越婢汤合方，原方含芍药，但大青龙汤需去芍药（因其性敛不利于发汗）并加杏仁以助宣肺，故B亦正确。其他选项中，A缺生姜、大枣；C误用桂枝汤为基础；E混淆小青龙汤结构，均不正确。,《伤寒论·辨太阳病脉证并治中》：“太阳中风，脉浮紧，发热恶寒，身疼痛，不汗出而烦躁者，大青龙汤主之。……麻黄六两（去节），桂枝二两（去皮），甘草二两（炙），杏仁四十枚（去皮尖），生姜三两（切），大枣十枚（擘），石膏如鸡子大（碎）。”
recuNmjdra1llL,伤寒论篇::一级,17. 大青龙汤是发汗的峻剂，若误服、过服的变证是,多选题,厥逆、下利清谷||恶风、烦躁、不得眠||厥逆、筋惕肉聘||发热恶寒，心下痞硬||鼻鸣干呕,BC,,,大青龙汤为发汗峻剂，适用于外寒内热证。若误服或过服，因发汗太过，易致阳气外泄、津液耗伤。B选项“恶风、烦躁、不得眠”因过汗伤阳，表虚不固则恶风；阴液亏损，虚热扰神则烦躁、不得眠。C选项“厥逆、筋惕肉瞤”因阳气虚衰，四肢失温则厥逆；津亏筋肉失养，故筋惕肉瞤。此二者均属过汗后的典型变证。,《伤寒论·辨太阳病脉证并治中》第38条：“太阳中风，脉浮紧，发热恶寒，身疼痛，不汗出而烦躁者，大青龙汤主之……若脉微弱，汗出恶风者，不可服之。服之则厥逆，筋惕肉瞤，此为逆也。”
recuNmjdraRXEv,伤寒论篇::一级,18. 小青龙汤证中，属“心下有水气”的临床表现有,多选题,咳||干呕||不渴||喘||利,ABCDE,,,小青龙汤证“心下有水气”的病机为外寒内饮，水饮停聚胸膈。水气上逆犯肺则咳、喘；水饮犯胃则干呕；水饮内停、津液不化则口不渴；水饮下趋肠道则下利。故《伤寒论》原文将咳、喘、呕、渴、利等均列为水气为患的或然证，故全选。,《伤寒论》第40条：“伤寒表不解，心下有水气，干呕发热而咳，或渴，或利，或噎，或小便不利、少腹满，或喘者，小青龙汤主之。”
recuNmjdraIYzW,伤寒论篇::一级,19. 须温覆取微似汗的方剂有,多选题,麻黄汤||桂枝汤||桂枝加葛根汤||葛根汤||大青龙汤,ABCDE,,,以上方剂均出自《伤寒论》，其用法中均强调“温覆取微似汗”以助药力发汗，但需控制汗出程度（不可过汗）。其中，桂枝汤、桂枝加葛根汤、葛根汤以调和营卫为主，麻黄汤、大青龙汤发汗力较强，但均需通过温覆微汗达到解表祛邪的目的。,桂枝汤：“温覆一时许，遍身漐漐微似有汗者益佳”；麻黄汤：“覆取微似汗”；桂枝加葛根汤：“如桂枝法将息”；葛根汤：“余如桂枝法将息”；大青龙汤：“温服一升，取微似汗”。（《伤寒论》相关条文）
recuNmjdravWJj,伤寒论篇::一级,20. 太阳蓄水证可见有,多选题,小便不利||微热消渴||脉浮数||心下痞||不渴,ABCD,,,太阳蓄水证因太阳表邪未解，邪气循经入腑，导致膀胱气化失司，水饮内停。A“小便不利”为膀胱气化不利的直接表现；B“微热消渴”反映表邪未尽（微热）与津液不布（消渴）；C“脉浮数”主表邪未解，兼有里热或水停；D“心下痞”因水停中焦，气机阻滞所致；E“不渴”与蓄水证津液不升的“消渴”矛盾，故排除。,《伤寒论·辨太阳病脉证并治中》第71条：“太阳病，发汗后……若脉浮，小便不利，微热消渴者，五苓散主之。”第72条：“发汗已，脉浮数，烦渴者，五苓散主之。”第74条：“中风发热……渴欲饮水，水入则吐者，名曰水逆，五苓散主之。”（心下痞与水停气滞相关）
recuNmjdra4hmV,伤寒论篇::一级,21. 五苓散的服法包括,多选题,白饮和服||取微似汗||多饮暖水||服药后糜粥自养||多饮冷水,ABC,,,返回结果异常，请修改指令重试！,
recuNmjdrasvTH,伤寒论篇::一级,22. 葛根芩连汤的主治证有,多选题,脉紧||喘||汗出||利不止||心下痞,BCD,,,葛根芩连汤主治表证未解、邪热入里的协热下利证，其典型症状为下利不止（利不止）、喘而汗出。脉紧主寒证或痛证，非本方所主；心下痞多见于寒热错杂的泻心汤证，故排除A、E。,《伤寒论·辨太阳病脉证并治》：“太阳病，桂枝证，医反下之，利遂不止，脉促者，表未解也；喘而汗出者，葛根黄芩黄连汤主之。”
recuNmjdraKMWB,伤寒论篇::一级,23. 太阳变证的心阳虚可发生,多选题,心悸||烦躁||厥逆||惊狂||脉结代,ABDE,,,太阳变证的心阳虚由心阳受损、温煦推动无力所致。心悸（A）因心阳不振，心神不宁；烦躁（B）因虚阳浮越或心神失养；惊狂（D）因心阳亡失、痰浊扰神；脉结代（E）因心阳不足、脉气不续。厥逆（C）多见于少阴阳衰，非心阳虚典型表现。,《伤寒论》64条（桂枝甘草汤）主“心下悸”；118条（桂枝甘草龙骨牡蛎汤）提“烦躁”；112条（救逆汤）述“惊狂”；177条（炙甘草汤）载“脉结代”。厥逆多见于四逆汤证（少阴病），故排除。
recuNmjdracMs4,伤寒论篇::一级,24. 下列证候中属于心阳虚证表现的是,多选题,伤寒二三日，心中悸而烦||心下悸，欲得按||惊狂，卧起不安||脐下悸，欲作奔豚||昼日烦躁不得眠,BCD,,,心阳虚证主要表现为心悸、胸闷、畏寒，甚则阳虚水泛或心神浮越。选项B“心下悸，欲得按”为心阳不足，水气凌心所致（桂枝甘草汤证）；C“惊狂，卧起不安”为心阳衰而痰浊扰神（桂枝去芍药加蜀漆牡蛎龙骨救逆汤证）；D“脐下悸，欲作奔豚”为心阳虚不能制水，肾水欲上冲（茯苓桂枝甘草大枣汤证）。选项A属心脾两虚，E属肾阳虚衰，均非心阳虚证。,B见《伤寒论·辨太阳病脉证并治》“发汗过多，其人叉手自冒心，心下悸，欲得按者，桂枝甘草汤主之”；C见《伤寒论》“伤寒脉浮，医以火迫劫之，亡阳，必惊狂，卧起不安者，桂枝去芍药加蜀漆牡蛎龙骨救逆汤主之”；D见《伤寒论》“发汗后，其人脐下悸者，欲作奔豚，茯苓桂枝甘草大枣汤主之”。
recuNmjdrakTRG,伤寒论篇::一级,25. 桂枝加桂汤中“更加桂二两”的作用是,多选题,解肌祛风||温通心阳||温阳利水||平冲降逆||调和营卫,BD,,,桂枝加桂汤是在桂枝汤基础上加重桂枝用量，主要针对奔豚气病机（心阳不足，下焦阴寒上逆）。增加桂枝二两，既增强温通心阳（B）以治本，又加强平冲降逆（D）以治标。选项A、E为原桂枝汤基础作用，C为其他方剂功效，故排除。,《伤寒论》第117条：“烧针令其汗……必发奔豚，气从少腹上冲心者……与桂枝加桂汤，更加桂二两也。”
recuNmjdraFnrV,伤寒论篇::一级,26. 苓桂甘枣汤证与桂枝加桂汤证的主要区别是,多选题,前者心阳虚；后者心肾阳虚||前者水动于下；后者下寒上逆||前者心下悸；后者脐下悸||前者欲作奔豚；后者已发奔豚||前者发汗后；后者吐下后,BD,,,苓桂甘枣汤证因心阳虚、水气欲动于下，主症为“脐下悸，欲作奔豚”，病机为水动于下；桂枝加桂汤证因下焦寒气上逆，主症为“气从少腹上冲心”，属已发奔豚。二者区别在于病位病机（水动于下 vs. 下寒上逆）及奔豚发作阶段（欲作 vs. 已发）。,苓桂甘枣汤证见《伤寒论·辨太阳病脉证并治中》：“发汗后，其人脐下悸者，欲作奔豚，茯苓桂枝甘草大枣汤主之。”桂枝加桂汤证见同篇：“烧针令其汗……必发奔豚，气从少腹上冲心者……与桂枝加桂汤。”
recuNmjdraBXyj,伤寒论篇::一级,27. 茯苓桂枝白术甘草汤证的主要表现有,多选题,筋惕肉暇，身为振振摇||脉沉紧||头目昏眩||心下逆满，气上冲胸||脐下悸,BCD,,,茯苓桂枝白术甘草汤证（苓桂术甘汤证）主治中焦阳虚、水饮内停之证。其核心病机为脾阳不足，水饮停聚，导致气机升降失常。主要表现包括：水饮上泛清阳之位则“头目昏眩”（C）；水停中焦，气机壅滞则“心下逆满，气上冲胸”（D）；水饮内停，脉道受遏则“脉沉紧”（B）。A项“筋惕肉瞤，身为振振摇”为阳虚水泛加重或误治后的变证（如真武汤证），E项“脐下悸”属水停下焦的苓桂甘枣汤证，故均非苓桂术甘汤主证。,《伤寒论》第67条：“伤寒若吐、若下后，心下逆满，气上冲胸，起则头眩，脉沉紧，发汗则动经，身为振振摇者，茯苓桂枝白术甘草汤主之。”
recuNmjdrabHBW,伤寒论篇::一级,28. 苓桂甘枣汤证与苓桂术甘汤证均为水饮为患，其区别要点是,多选题,前者水停下焦，复有上逆之势；后者水停中焦||前者以脐下悸，欲作奔豚等为主症；后者以心下逆满，气上冲胸等为主症||前者心阳虚损；后者脾阳虚衰||前者兼肾阳不足；后者兼心阳虚||前者兼烦躁；后者兼心悸,ABC,,,苓桂甘枣汤证与苓桂术甘汤证均属水饮为病，但病位与病机不同。苓桂甘枣汤证因心阳虚损，下焦水气上逆，主症为脐下悸、欲作奔豚（对应《伤寒论》条文“发汗后，其人脐下悸者，欲作奔豚”），病位在下焦；苓桂术甘汤证因脾阳虚衰，水停中焦，主症为心下逆满、气上冲胸（对应《伤寒论》“心下逆满，气上冲胸”），病位在中焦。故A、B、C正确。D、E与病机不符。,苓桂甘枣汤证见《伤寒论》第65条：“发汗后，其人脐下悸者，欲作奔豚，茯苓桂枝甘草大枣汤主之。”苓桂术甘汤证见《伤寒论》第67条：“伤寒若吐若下后，心下逆满，气上冲胸，起则头眩……茯苓桂枝白术甘草汤主之。”
recuNmjdrar2Ak,伤寒论篇::一级,29. 干姜附子汤证可见,多选题,昼日烦躁不得眠，夜而安静||身无大热||脉沉微||渴欲热饮||心下有水气,ABC,,,干姜附子汤证因阳气暴脱，虚阳外越，昼日阳气较盛，正邪相争故烦躁不得眠；夜间阳气衰，无力抗争故安静。脉沉微为阳气虚衰之象，身无大热为虚热外浮。渴欲热饮及心下水气非本方证候。,《伤寒论》第61条：“下之后，复发汗，昼日烦躁不得眠，夜而安静，不呕，不渴，无表证，脉沉微，身无大热者，干姜附子汤主之。”
recuNmjdra18Yg,伤寒论篇::一级,30. 小建中汤证的证候有,多选题,阳脉涩，阴脉弦||心中悸而烦||心中悸而惊||腹中急痛||心烦喜呕,ABD,,,小建中汤证因中焦虚寒、气血不足，兼有邪扰，主症为腹中急痛，脉象阳涩阴弦，并可见心悸而烦。选项A（阳脉涩，阴脉弦）为脉象特征，B（心中悸而烦）与D（腹中急痛）为典型症状；C（心中悸而惊）多见于心阳不足或痰热扰神证，E（心烦喜呕）属小柴胡汤证，故排除。,《伤寒论·辨太阳病脉证并治》：“伤寒，阳脉涩，阴脉弦，法当腹中急痛，先与小建中汤。”“伤寒二三日，心中悸而烦者，小建中汤主之。”
recuNmjdrauNKC,伤寒论篇::一级,31. 大小结胸证的区别要点在于,多选题,前者病位从心下至少腹；后者正在心下||前者脉沉紧；后者脉浮滑||前者为痰水互结；后者为痰热互结||前者心下痛甚，按之石硬；后者按之始痛，未至石硬||前者为寒证，后者为热证,ABD,,,大结胸证与小结胸证的主要区别在于病位范围、脉象特征及疼痛程度。大结胸证为水热互结，病位广泛（心下至少腹），脉沉紧，疼痛剧烈且按之石硬；小结胸证为痰热互结，病位局限（正在心下），脉浮滑，按之始痛但未至坚硬如石。选项C中“痰水互结”表述不准确，大结胸证实为水热互结；选项E错误，两者均属热证。,《伤寒论·辨太阳病脉证并治》：“太阳病，脉浮而动数……医反下之，动数变迟，膈内拒痛，胃中空虚，客气动膈，短气躁烦，心中懊憹，阳气内陷，心下因硬，则为结胸，大陷胸汤主之。”（大结胸证）；“小结胸病，正在心下，按之则痛，脉浮滑者，小陷胸汤主之。”（小结胸证）。
recuNmjdrauFhP,伤寒论篇::一级,32. 小结胸证的临床特征是,多选题,正在心下||脉浮滑||按之则痛||按之石硬||脉沉紧,ABC,,,小结胸证的临床特征为病变部位局限（正在心下），触诊时有压痛（按之则痛），脉象浮滑。其中，“正在心下”说明病位较局限，不同于大结胸的“从心下至少腹”；“按之则痛”提示疼痛程度较轻，而大结胸为“按之石硬”且疼痛剧烈；“脉浮滑”反映痰热互结的病理特点。选项D、E为大结胸证的表现（如《伤寒论》第135条），故排除。,《伤寒论》第138条：“小结胸病，正在心下，按之则痛，脉浮滑者，小陷胸汤主之。”
recuNmjdra8Vtw,伤寒论篇::一级,33. 大黄黄连泻心汤用麻沸汤渍之是因为,多选题,取其气轻扬，不欲其味之重浊||以利清上部无形邪热||大黄不宜久煎||因病热轻浅，不宜久煎||因煎煮后，药效减缓,AB,,,大黄黄连泻心汤主治热痞证，属无形邪热壅滞中上焦。麻沸汤（沸水）渍药而非久煎，旨在取其轻清之气上浮以清泻上部邪热，避免苦寒药性沉降导致药效下趋。选项A强调“气轻扬”以行上焦，B强调“清上部无形热”，均符合本方煎服法的核心目的。其余选项如C（大黄不宜久煎）虽有一定道理，但并非本方特殊煎法的直接依据；D（病热轻浅）、E（药效减缓）则与原文立意不符。,《伤寒论·辨太阳病脉证并治》：“心下痞，按之濡，其脉关上浮者，大黄黄连泻心汤主之……上二味，以麻沸汤二升渍之，须臾绞去滓，分温再服。”（后世注家如尤在泾《伤寒贯珠集》释：“渍以麻沸汤，取其气轻扬，不使味重浊以泻心下之虚热也。”）
recuNmjdranlxa,伤寒论篇::一级,34. 半夏、生姜、甘草三泻心汤证的共同病机是,多选题,脾胃不和||水食停滞||寒热中阻||升降失常||寒湿内阻,ACD,,,半夏、生姜、甘草三泻心汤均主治寒热错杂、中焦气机升降失常之痞证。三者共同病机为脾胃不和（A）、寒热中阻（C）及升降失常（D）。脾胃不和指中焦功能失调，寒热中阻为寒热错杂壅滞中焦，升降失常则表现为气机逆乱（如呕、利、痞）。B（水食停滞）为生姜泻心汤特有兼证，E（寒湿内阻）属单纯寒湿，与三方寒热错杂病机不符。,《伤寒论·辨太阳病脉证并治》：“伤寒汗出解之后，胃中不和，心下痞硬，干噫食臭，胁下有水气，腹中雷鸣下利者，生姜泻心汤主之。”“伤寒中风，医反下之……但满而不痛者，此为痞，柴胡不中与之，宜半夏泻心汤。”“伤寒中风……腹中雷鸣，心下痞硬而满……甘草泻心汤主之。”均体现寒热互结、脾胃升降失常之病机。
recuNmjdravp4R,伤寒论篇::一级,35. 半夏泻心汤与黄连汤都用半夏、黄连、干姜三药，其药理作用是,多选题,辛开苦降||和中消痞 伤寒||降逆止呕||寒温并用||温中补虚,ACD,,,半夏泻心汤与黄连汤均含半夏、黄连、干姜三药，其配伍体现“辛开苦降”（A）：半夏、干姜辛温散结，黄连苦寒降泄，共调寒热。三药寒温并用（D），调和阴阳。半夏兼能“降逆止呕”（C）。B选项“和中消痞”为半夏泻心汤的主治功效，但黄连汤主攻上热下寒，非消痞；E选项“温中补虚”依赖人参、甘草等补益药，而题目仅问三药作用，故排除。,半夏泻心汤（《伤寒论·辨太阳病脉证并治》）：“伤寒五六日，呕而发热者…但满而不痛者，此为痞，宜半夏泻心汤。”黄连汤（《伤寒论·辨太阳病脉证并治》）：“伤寒胸中有热，胃中有邪气…黄连汤主之。”二者均以辛开苦降、寒温并用为法，半夏降逆，黄连清热，干姜温中，共调寒热升降。
recuNmjdrax2sz,伤寒论篇::一级,36. 下列方剂中，仅由甘草、黄连、黄芩、干姜、半夏、人参、大枣七味药组成的是,多选题,生姜泻心汤||半夏泻心汤||黄连汤||甘草泻心汤||小柴胡汤,BD,,,半夏泻心汤与甘草泻心汤均由甘草、黄连、黄芩、干姜、半夏、人参、大枣七味药组成。生姜泻心汤因含生姜而非干姜，黄连汤含桂枝而无黄芩，小柴胡汤含柴胡、生姜而无黄连、干姜，故排除其他选项。答案选BD。,《伤寒论·辨太阳病脉证并治》：“伤寒五六日……但满而不痛者，此为痞，柴胡不中与之，宜半夏泻心汤。”（半夏泻心汤组成：半夏、黄芩、干姜、人参、甘草、黄连、大枣）；甘草泻心汤同此七味，唯重用甘草。
