ID,主字段,章节,知识解析,知识拓展
recveFKWJuc2pS,"<div style=""text-align: center; font-size: 24px;""><b>六味地黄丸</b></div>",补益剂::补明剂,"方歌::[[六味地黄益肾肝]],[[山药茱萸苓泽丹]]。<br>[[阴虚火旺加知柏]],[[养肝明目杞菊煎]]。<br>[[若加五味成都气]],[[再入麦冬长寿丸]]<br>###组成::[[熟地黄、山萸肉、干山药、泽泻、丹皮、茯苓]]<br>###主治::[[肾阴虚]]证、[[肾阴精不足]]证、[[肝肾阴虚]]证。腰膝酸软，头晕目眩，耳鸣耳聋，盗汗，遗精，消渴，骨蒸潮热，手足心热，舌燥咽痛(口燥咽干)，牙齿动摇，足跟作痛，小便淋沥，以及小儿囟门不合，舌红少苔，脉沉细数<br>###功用::[[填精滋阴补肾/滋补肝肾]]",用法::上为末，炼蜜为丸，如梧桐子大。空心温水化下三丸。亦可水煎服<br>###加减::1.知柏地黄丸。即六味地黄丸加知母、黄柏。功用:滋阴降火。主治:肝肾阴虚，虚火上炎证。症见头目昏眩，耳鸣耳聋，虚火牙痛，五心烦热，腰膝酸痛，血淋尿痛，遗精梦泄，骨蒸潮热，盗汗颧红，咽干口燥，舌质红，脉细数。或阴虚火旺而致的骨蒸劳热，烦盗汗，腰脊痛遗精等证。<br>②.杞菊地黄丸。即六味地黄丸加枸杞子、菊花。功用:滋肾养肝明目。主治:肝肾阴虚证。症见两目昏花，视物模糊，或眼睛干涩，迎风流泪等。<br>③.都气丸。即六味地黄丸加五味子。功用:滋肾纳气。主治:肺肾两虚证。症见咳嗽气喘，呃逆滑精，腰痛。或肾阴虚气喘，呃逆之证。<br>④.麦味地黄丸(原名八味地黄丸，八仙长寿丸)。即六味地黄丸加麦冬、五味子。功用:滋补肺肾或敛肺纳肾。主治:肺肾阴虚证。症见虚烦劳热，咳嗽吐血，或喘逆，潮热盗汗<br>###方解::<b>「君」：</b>重用熟地黄:滋阴补肾，填精益髓<br><b>「臣」：</b>山茱萸:滋补肝肾，涩精；山药:双补脾肾，健脾补虚，涩精固肾君臣相配，三阴并补，补肝脾肾<br><b>「佐」：</b>泽泻:利湿泄浊，以防熟地之滋腻恋邪；牡丹皮:清泻相火，制山茱萸之温涩茯苓:淡渗脾湿，助泽泻以泄肾浊，又助山药之健运以充养后天之本<br>###注意::脾虚食少便溏者不宜使用<br>###特点::三补三泻法代表方。补肾填精基础方。幼科补肾专药本方为金匮所载崔氏八味丸(肾气丸)减去桂枝，附子而成
recveFKWJusrui,"<div style=""text-align: center; font-size: 24px;""><b>一贯煎</b></div>",补益剂::补明剂,"方歌::[[一贯煎中生地黄]],[[沙参归杞麦冬藏]]。<br>[[少佐川楝泄肝气]],[[阴虚肝郁此方良]]<br>###组成::[[生地黄、麦冬、北沙参、当归、枸杞子、川楝子]]<br>###主治::1.[[肝肾阴虚，肝气郁滞]]证。胸脘胁痛，吞酸吐苦，咽干口燥，舌红少津，脉细弱或虚弦<br>2.亦治[[疝气瘕聚]]<br>###功用::[[滋阴疏肝]]",用法::水煎服<br>###加减::①大便秘结，加瓜萎仁；<br>②有虚热或汗，加地骨皮；<br>③痰多加贝母；<br>④舌红干阴亏甚，加石斛；<br>⑤胁胀，加芍药、甘草；<br>⑥脚弱，加牛膝，薏苡仁；<br>⑦不寐，加酸枣仁；<br>⑧口苦燥，加黄连<br>###方解::<b>「君」：</b>生地黄:益肾养肝，滋水涵木<br><b>「臣」：</b>枸杞子:补肝肾，益精血；当归:养血补肝，且养血之中有调血，补肝之中寓疏达<br><b>「佐」：</b>北沙参、麦冬:滋养肺胃，养阴生津，润燥止渴，寓佐金平木，培土抑木之意<br><b>「佐使」：</b>川楝子:疏肝泄热，理气止痛配伍甘寒滋阴养血药之中，既无苦燥伤阴之弊，又可泄肝火而平横逆<br>###注意::肝郁脾虚停湿者不宜使用。因制方重在滋补，虽时行无形之气，但不能祛有形之邪，且药多甘腻，故有停痰积饮而舌苔白腻、脉沉弦者，不宜使用<br>###特点::阴虚气滞常用方。涵养肝阴第一良方
recveFKWJujbFG,"<div style=""text-align: center; font-size: 24px;""><b>补肺阿胶汤</b></div>",补益剂::补明剂,"方歌::[[补肺阿胶马兜铃]],[[鼠黏甘草杏糯停]]。<br>[[肺虚火盛人当服]],[[顺气生津嗽哽宁]]<br>###组成::[[「阿胶」、鼠黏子(牛蒡子)、马兜铃、杏仁、糯米、炙甘草]]<br>###主治::[[【*肺虚热盛::病机:肺阴虚而感受外邪，邪从热化)咳嗽气喘，咽喉干燥，喉中有声，咯痰不爽或痰中带血，舌红少苔，脉细数*】]]，或(小儿)肺阴虚有热证。<br>###功用::[[养阴补肺，清热止血(养阴补肺，镇咳止血)]]",用法::上为细末，每服一二钱，水煎，食后温服
recveFKWJuQu2N,"<div style=""text-align: center; font-size: 24px;""><b>石斛夜光丸</b></div>",补益剂::补明剂,"方歌::[[石斛夜光枳膝芎]],[[二地二冬杞丝苁]]。<br>[[青葙草决犀羚角]],[[参味连苓蒺草风]]。<br>[[再与杏菊山药配]],[[养阴明目第一功]]<br>###组成::[[熟地、生地、天冬、麦冬、石斛、人参、茯苓、山药、炙甘草、枸杞子、菟丝子、五味子、沙苑、蒺藜、牛膝、肉苁蓉、防风、川芎、枳壳、杏仁、羚羊角、生乌犀、黄连、决明子、青葙子、甘菊]]<br>###主治::[[肝肾不足，虚火上扰]]证。瞳神散大，视物昏花，畏光流泪，头晕目眩，以及内障等症<br>###功用::[[滋补肝肾，清热明目(平肝息风，滋阴明目)]]",用法::上除另捣外，为极细末，炼蜜为丸，如梧桐子大。每服三五十丸，空心温酒送下，盐汤亦可
recveFKWJu3zCY,"<div style=""text-align: center; font-size: 24px;""><b>大补阴丸</b></div>",补益剂::补明剂,"方歌::[[大补阴丸知柏黄]],[[龟板脊髓蜜成方]]。<br>[[咳嗽咯血骨蒸热]],[[阴虚火旺制亢阳]]<br>###组成::[[「熟地黄」、「龟板」、黄柏、知母、猪骨髓、蜂蜜]]<br>###主治::[[阴虚火旺]]证。骨蒸潮热，盗汗遗精，咳嗽咯血，心烦易怒，足膝疼热，或消渴易饥，舌红少苔，尺脉数而有力<br>###功用::[[滋阴降火]]",用法::上为细末，猪骨髓蒸熟，炼蜜为丸。服七十丸，空心盐白汤送下<br>###方解::<b>「君」：</b>熟地滋补真阴，填精益髓；龟板滋阴潜阳，补肾健骨。二药相须，补阴固本，滋水亦可制火(壮水制火)。即所谓培其本<br><b>「臣」：</b>黄柏之苦寒降泄，“专泻肾与膀胱之火”，泻相火以坚阴；知母味苦性寒质润，既能清泄肺、胃、肾三经之火，又能滋三经之阴(上能清润肺金，下能滋清肾水)。知母、黄柏相须为用，苦寒降火，保存阴液，平抑亢阳，即所谓清其源。知母滋阴清热，黄柏虽无滋阴之功，确属“坚阴”之品，二者善能清降阴虚之火<br><b>「佐使」：</b>丸用猪脊髓补髓养阴，蜂蜜补中润燥，共增滋补真阴之效。此乃血肉甘润之品，填精益髓，既能助熟地、龟板以滋阴，又能制黄柏之苦燥<br>###注意::若脾胃虚弱、食少便溏，以及火热属于实证者不宜使用
recveFKWJuDc0g,"<div style=""text-align: center; font-size: 24px;""><b>虎潜丸</b></div>",补益剂::补明剂,"方歌::[[虎潜足疾是妙方]],[[虎骨陈皮并锁阳]]。<br>[[龟板干姜知母芍]],[[再加柏地作丸尝]]。<br>[[滋阴降火强壮骨]],[[肝肾不足虚热良]]<br>###组成::[[熟地黄、龟板、黄柏、知母、白芍、锁阳、虎骨、干姜、陈皮]]<br>###主治::肝肾不足，阴虚内热之[[痿证]]。腰膝酸软，筋骨痿弱，步履乏力，遗尿，或眩晕，耳鸣，遗精，舌红少苔，脉细弱<br>###功用::[[滋阴降火，强壮筋骨]]",用法::上为细末，炼蜜为丸，淡盐水或温开水送下，亦可水煎服
recveFKWJu79e3,"<div style=""text-align: center; font-size: 24px;""><b>左归丸</b></div>",补益剂::补明剂,"方歌::[[左归丸内山药地]],[[萸肉牛膝与枸杞]]。<br>[[菟丝龟鹿二胶合]],[[滋阴补肾精髓齐]]<br>###组成::[[「熟地」、山药、山茱萸肉、枸杞子、菟丝子、鹿角胶、龟板胶、川牛膝]]<br>###主治::[[真阴不足]]证。腰酸腿软，头晕眼花，(形体羸瘦)耳聋失眠，遗精滑泄，自汗盗汗，口燥舌干，舌红少苔，脉细(真阴不足，精髓亏损)<br>###功用::[[滋阴补肾，填精益髓(滋肾填阴，育阴潜阳)]]",用法::上先将熟地蒸烂，杵膏，炼蜜丸，梧桐子大。每食前用滚汤或淡盐汤送下百余丸
recveFKWJuVFYp,"<div style=""text-align: center; font-size: 24px;""><b>左归饮</b></div>",补益剂::补明剂,"方歌::[[左归饮来补肾阴]],[[熟地山药茱萸跟]]。<br>[[枸杞苓草同煎服]],[[肾阴不足此方寻]]<br>###组成::[[熟地、山药、山茱萸、枸杞子、茯苓、炙甘草]]<br>###主治::[[真阴不足]]证。腰酸遗泄，盗汗，口燥咽干，口渴欲饮，舌尖红，脉细数<br>###功用::[[补肾益阴]]",用法::水二盅，煎至七分，食远服
recveFKWJuNzhj,"<div style=""text-align: center; font-size: 24px;""><b>肾气丸</b></div>",补益剂::补阳剂,"方歌::[[金匮肾气肾阳虚]],[[地黄山药及山茱]]。<br>[[丹皮苓泽加桂附]],[[补肾助阳此方居]]<br>###组成::[[干地黄、山药、山茱萸、泽泻、茯苓、丹皮、桂枝、炮附子]]<br>###主治::[[肾阳不足证]]。<br>1.腰痛脚软，身半以下常有冷感，少腹拘急，小便不利，或小便反多，入夜尤甚，阳痿早泄，舌淡而胖，脉虚弱，尺部沉细或沉弱而迟。<br>2.痰饮，水肿，脚气，转胞，消渴<br>###功用::[[补肾助阳，化生肾气]]",用法::上为末，炼蜜为丸，如梧桐子大。每服十五丸，日再服<br>###加减::①加味肾气丸(即济生肾气丸，由肾气丸加车前子、牛膝而成)。方中地黄等“三补”“三泻”之品用量锐减，而附子之量倍增，重在温阳利水，适用于阳虚水肿而肾虚不著者。功用:温助肾阳，利水消肿。主治:肾阳虚水肿。症见腰重脚肿，小便不利<br>②十补丸(肾气丸加入鹿茸、五味子，且亦减“三补”“三泻”之量，而增附子之量，遂易温补肾气之方而为补肾阳、益精血之剂，适用于肾阳虚损、精血不足之证)。功用:补肾阳，益精血。主治:肾阳虚损，精血不足证。症见面色黧黑，足冷足肿，耳鸣耳聋，肢体羸瘦，足膝软弱，小便不利，腰脊疼痛，或阳痿，遗精，舌淡苔白，脉沉迟尺弱<br>③方中干地黄，现多用熟地；桂枝改用肉桂，如此效果更好；若夜尿多者，宜肾气丸加五味子；小便数多，色白体赢，为真阳亏虚，宜加补骨脂、鹿茸等，加强温阳之力；若用于阳痿，证属命门火衰者，酌加淫羊藿、补骨脂、巴戟天等以助壮阳起痿之力<br>###方解::<b>「君」：</b>干地黄(今多用熟地黄):滋补肾阴，益精填髓(干地黄乃补肾家之要药，益阴血之上品)<br><b>「臣」：</b>山茱萸:补肝肾，涩精气；薯蓣(山药):健脾气，固肾精；二药补肝脾而益精血(二药配地黄，补肾填精，此为三补)附子、桂枝:温肾助阳，生发少火，鼓舞肾气(补肾阳之虚，助气化之复，益火之源，以消阴翳)<br><b>「佐」：</b>茯苓:健脾益肾；泽泻、丹皮:降相火而制虚阳浮动；茯苓、泽泻:利水渗湿(渗湿泄浊、通调水道)(此三药为三泻)<br>###注意::①若咽干口燥、舌红少苔属肾阴不足，虚火上炎者，不宜应用。<br>②肾阳虚而小便正常者，为纯虚无邪，不宜使用本方。吴仪洛称:“此亦为虚中夹邪滞而设尔，若纯虚之证，而兼以渗利，未免减去药力，当用右归丸或右归饮。”<br>③阴虚火旺之遗精滑泄忌用<br>###特点::原名崔氏八味丸。补肾助阳，化生肾气代表方。遣药配伍寓有温阳以助化气利水之义
recveFKWJuqFt0,"<div style=""text-align: center; font-size: 24px;""><b>右归丸</b></div>",补益剂::补阳剂,"方歌::[[右归饮中用附桂]],[[地杞萸药杜草需]]。<br>[[温补肾阳填精血]],[[肾阳不足效亦追]]<br>###组成::[[熟地、山药、山茱萸、枸杞、肉桂、制附子、杜仲、炙甘草]]<br>###主治::[[肾阳不足]]证。气怯神疲，腹痛腰酸，手足不温，及阳痿遗精，大便溏薄，小便频多，舌淡苔薄，脉来虚细者，或阴盛洛阳，真寒假热之证<br>###功用::[[温补肾阳，填精补血]]",用法::以上水二盅，煎至七分，食远温服
recveFKWJuF6TB,"<div style=""text-align: center; font-size: 24px;""><b>地黄饮子</b></div>",补益剂::阴阳并补剂,"方歌::[[地黄饮子山茱斛]],[[麦味菖蒲远志茯]]。<br>[[苁蓉桂附巴戟天]],[[少入薄荷姜枣服]]。<br>[[滋阴补肾窍痰化]],[[暗痱舌强与足废]]<br>###组成::[[熟干地、肉苁蓉、巴戟天、山茱萸、石斛、炮附子、五味子、官桂、白茯苓、麦冬、远志、石菖蒲、生姜、大枣、薄荷]]<br>###主治::下元虚衰，痰浊上逆之喑[[痱证]]。舌强不能言，足废不能用，口干不欲饮，足冷面赤，脉沉细弱<br>###功用::[[滋肾阴，补肾阳，开窍化痰]]",用法::上为粗末，每服三钱，水一盏半，生姜五片，大枣一枚，薄荷五、七叶同煎至八分，不计时候<br>###加减::①肾虚痱证，减石菖蒲、远志；<br>②兼气虚神疲倦怠，酌加黄芪、人参；<br>③喑痱以阴虚为主，痰火盛者，去桂、附，酌加浙贝母、竹沥、胆南星<br>###方解::<b>「君」：</b>熟地黄、山茱萸:滋补肾阴，补肾填精；肉苁蓉、巴戟天:温壮肾阳四药相配:阴阳并补，益肾填精<br><b>「臣」：</b>附子、肉桂:助阳益火，协肉苁蓉、巴戟天温暖下元，补肾壮阳，并可摄纳浮阳，引火归原石斛、麦冬:滋阴益胃，补后天以充养先天五味子:酸涩收敛，合山茱萸可固肾涩精，伍肉桂能摄纳浮阳，纳气归肾<br><b>「佐」：</b>石菖蒲、远志、茯苓:化痰开窍，以治痰浊阻窍之标，且与诸补肾药相伍，又可交通心肾<br><b>「佐使」：</b>加薄荷数叶:疏郁利咽，并增轻清宣窍之力<br>###注意::喑痱兼气火升逆，或肝阳偏亢者禁用<br>###特点::治疗肾虚暗症代表方。暗症即:舌强不能言(喑)，足废不能用(痱)
recveFKWJuY8Kk,"<div style=""text-align: center; font-size: 24px;""><b>七宝美髯丹</b></div>",补益剂::阴阳并补剂,"方歌::[[七宝美髯何首乌]],[[菟丝牛膝茯苓俱]]。<br>[[骨脂枸杞当归合]],[[专益肝肾精血虚]]<br>###组成::[[「赤白何首乌」、枸杞子、菟丝子、当归、补骨脂、牛膝、赤白茯苓]]<br>###主治::[[肝肾不足]]证。须发早白，脱发，牙齿动摇，腰膝酸软，梦遗滑精，肾虚不育<br>###功用::[[补益肝肾，乌发壮骨]]",用法::上药捣为末，炼蜜为丸，如弹子大，每次一丸，日三次，清晨温酒下，午时姜汤下，卧时盐汤下
recveFKWJubFp2,"<div style=""text-align: center; font-size: 24px;""><b>龟鹿二仙胶</b></div>",补益剂::阴阳并补剂,"方歌::[[龟鹿二仙最守真]],[[补人三宝精气神]]。<br>[[人参枸杞和龟鹿]],[[益寿延年实可珍]]。<br>[[滋阴填精气阳壮]],[[腰酸目昏精血损]]<br>###组成::[[「鹿角胶」、「龟板胶」、人参、枸杞子、酒]]<br>###主治::[[真元虚损，精血不足]]证。腰膝酸软，形体瘦削，两目昏花，发脱齿摇，阳痿遗精，久不孕育<br>###功用::[[滋阴填精，益气壮阳]]",用法::熬胶，空心以酒少许送服
recveFKWJuE7Gs,"<div style=""text-align: center; font-size: 24px;""><b>补天大造丸</b></div>",补益剂::阴阳并补剂,"方歌::[[补天大造治虚劳]],[[参芪术归枣白芍]]。<br>[[龟鹿用胶河车远]],[[枸杞熟地苓山药]]<br>###组成::[[人参、黄芪、白术、当归、枣仁、远志、白芍、山药、茯苓、枸杞子、大熟地、「紫河车」、鹿角胶、龟板胶]]<br>###主治::[[虚劳]]。气短乏力，食少神疲，心悸失眠，腰膝酸软，头晕目眩等<br>###功用::[[补五脏磨损]]",用法::以龟、鹿胶和药，加炼蜜为丸，每早开水下四钱<br>###注意::原书记载本方加减:“阴虚内热甚者，加丹皮二两；阳虚内寒者，加肉桂五钱。”
recveFKWJuLPSb,"<div style=""text-align: center; font-size: 24px;""><b>朱砂安神丸</b></div>",安神剂::重镇安神剂,"方歌::[[朱砂安神东垣方]],[[归连甘草合地黄]]。<br>[[怔仲不寐心烦乱]],[[镇心泻火养阴康]]<br>###组成::[[朱砂、黄连、炙甘草、生地黄、当归、]]<br>###主治::[[心火偏亢，阴血不足]]证。心神烦乱，惊悸怔忡，失眠多梦，甚则欲吐不果，或胸中懊憹，舌尖红，脉细数<br>###功用::[[镇心安神，泻火养阴(镇心安神，清热养血；重镇安神，清心泻火)]]",用法::上四味为细末，另研朱砂，水飞如尘，阴干，为衣，汤浸蒸饼为丸，如黍米大，每服十五丸至二十丸，津唾咽之，食后，或温水、凉水送下亦得<br>###加减::①心火较重，烦热不寐较甚者:加栀子或莲子心；<br>②神乱而魂魄不宁，兼惊恐、易惊者:加龙骨、牡蛎、磁石<br>###方解::<b>「君」：</b>朱砂:人心经，镇心神，清心火，平怔仲，定惊悸(上清心火，下益肾水)<br><b>「臣」：</b>黄连:清心泄火除烦。二药相合，一镇一清，加强镇心安神，清心泻火之力<br><b>「佐」：</b>当归:补养心血；生地:滋阴清热。两者相合:清热滋阴养血<br><b>「佐使」：</b>甘草:①和中益胃；②制黄连苦寒；③防朱砂质重碍胃<br>###注意::朱砂内含硫化汞，有毒，不宜水煎，不宜多服或久服；阴虚或素体脾胃虚弱者慎用；不宜与碘化物或溴化物同用，以防导致医源性肠炎<br>###特点::心火偏亢，阴血不足而致神志不宁
recveFKWJuRxgF,"<div style=""text-align: center; font-size: 24px;""><b>珍珠母丸</b></div>",安神剂::重镇安神剂,"方歌::[[珍珠母丸归地参]],[[犀沉龙齿柏枣仁]]。<br>[[朱砂为衣茯神人]],[[镇心潜阳又宁神]]<br>###组成::[[「珍珠母」、当归、熟地、人参、酸枣仁、柏子仁、犀角、茯神、沉香、「龙齿」、朱砂]]<br>###主治::[[心肝阳亢，阴血不足，神志不宁]]证。入夜少寐，时而惊悸，头目眩晕，脉细弦<br>###功用::[[镇心安神，平肝潜阳，滋阴养血]]",用法::上药研细末，炼蜜为丸，如梧桐子大，辰砂为衣，每服四、五十九，金银薄荷汤下，日午、夜卧服，亦可作汤剂
recveFKWJu2CPB,"<div style=""text-align: center; font-size: 24px;""><b>磁朱丸</b></div>",安神剂::重镇安神剂,"方歌::[[磁朱丸中有神曲]],[[重镇安神交心肾]]。<br>[[心悸失眠耳目疾]],[[癫狂痫证亦宜服]]<br>###组成::[[「磁石」、朱砂、神曲]]<br>###主治::[[心肾不交，神志不安]]证。视物昏花，耳鸣耳聋，心悸失眠。亦治[[癫痫]]等<br>###功用::[[重镇安神，(益阴)聪耳明目，交通心肾(重镇安神，潜阳明目)]]",用法::三味末之，炼蜜为丸，如梧子大，饮服三丸，日三服
recveFKWJulGev,"<div style=""text-align: center; font-size: 24px;""><b>酸枣仁汤</b></div>",安神剂::补养安神剂,"方歌::[[酸枣仁汤治失眠]],[[川芎知草茯苓煎]]。<br>[[养血除烦清内热]],[[安然入睡梦乡甜]]<br>###组成::[[炒酸枣仁、知母、川芎、茯苓、生甘草]]<br>###主治::[[肝血不足]]，虚热内扰之虚烦[[失眠]]证。虚烦失眠，心悸不安，头目眩晕，咽干口燥，舌红，脉弦细<br>###功用::[[养血安神，清热除烦]]",用法::上五味，以水八升，煮酸枣仁得六升，内诸药，煮取三升，分温三服<br>###加减::①虚热逼津外泄兼见盗汗:加牡蛎、浮小麦、五味子；<br>②心胆气虚而心悸易惊甚者:加龙齿、人参；<br>③虚火内扰较甚，烦躁不安者:加白芍、栀子、生地<br>###方解::<b>「君」：</b>酸枣仁:入心肝之经，养血补肝，宁心安神<br><b>「臣」：</b>茯苓:宁心安神；知母:滋阴润燥，清热除烦<br><b>「佐」：</b>川芎:调肝血，疏肝气(调畅气机，疏达肝气)川芎与酸枣仁:酸收辛散，寓散于收，补中有行，相反相成，达养血调肝之妙<br><b>「佐使」：</b>生甘草:生用，和中缓急，调和诸药<br>###注意::酸枣仁宜重用，捣碎先煎，方能取效<br>###特点::治疗肝血虚而致虚烦失眠常用方
recveFKWJuBJBj,"<div style=""text-align: center; font-size: 24px;""><b>天王补心丹</b></div>",安神剂::补养安神剂,"方歌::[[补心丹用柏枣仁]],[[二冬生地当归身]]。<br>[[三参桔梗朱砂味]],[[远志茯苓养心神]]。<br>[[补心滋阴与清热]],[[血虚阴亏可安神]]<br>###组成::[[生地黄、天门冬、麦门冬、玄参、柏子仁、酸枣仁、远志、当归身、丹参、人参、茯苓、五味子、桔梗、朱砂]]<br>###主治::[[阴虚血少，心神不宁]]证。虚烦失眠，心悸怔忡，神疲健忘，或梦遗，手足心热，口舌生疮，大便干结，舌红少苔，脉细数<br>###功用::[[滋阴养血，补心安神(补心安神，滋阴清热)]]",用法::上为末，炼蜜为丸，如梧桐子大，用朱砂为衣，每服二三十丸，临卧竹叶煎汤送下。忌胡荽、大蒜、萝卜、鱼腥、烧酒<br>###加减::①虚热不甚:去玄参、天冬、麦冬；<br>②失眠较重:加龙齿、夜交藤；<br>③精关不固，遗精滑泄较甚:加金樱子、芡实、牡蛎<br>###方解::<b>「君」：</b>生地:上养心血，下滋肾水，并清泻虚火(滋阴养血，清虚热)<br><b>「臣」：</b>天冬、麦冬:滋阴清热；酸枣仁、柏子仁:养心安神；当归:补心血，共助生地滋阴补血<br><b>「佐」：</b>茯苓、远志:养心安神，交通心肾；玄参:滋阴降火，制虚火上炎丹参:养心血活血，使诸药补而不滞；朱砂:镇心安神；五味子:与酸枣仁酸以收敛心气而安神；人参:与茯苓益气宁心<br><b>「佐使」：</b>桔梗:载药上行，使药力上人心经<br>###注意::本方不宜脾胃虚寒、食少便溏、湿痰留滞者。服药期间忌食辛辣之物<br>###特点::治疗心肾阴血亏虚，虚火上炎常用方
recveFKWJu3eIh,"<div style=""text-align: center; font-size: 24px;""><b>甘麦大枣汤</b></div>",安神剂::补养安神剂,"方歌::[[甘麦大枣脏躁汤]],[[养心安神与柔肝]]。<br>[[妇人恍惚常哭诉]],[[心阴受损肝失常]]<br>###组成::[[甘草、小麦、大枣]]<br>###主治::心阴受损，肝气失和之[[脏躁]]。精神恍惚，常悲伤欲哭，不能自主，心中烦乱，睡眠不安，甚则言行失常，呵欠频作，舌淡红苔少，脉细略数等<br>###功用::[[养心安神，和中缓急(养心安神，柔肝缓急)]]",用法::上三味，以水六升，煮取三升，分温三服
recveFKWJuAyYH,"<div style=""text-align: center; font-size: 24px;""><b>养心汤</b></div>",安神剂::补养安神剂,"方歌::[[养心汤用草芪参]],[[二茯芎归柏子寻]]。<br>[[夏曲远志兼桂味]],[[姜枣酸枣总宁心]]<br>###组成::[[「炙黄芪」、白茯苓、茯神、半夏曲、当归、川芎、远志、辣桂(即肉桂)、柏子仁、酸枣仁、北五味子、「人参」、炙甘草、生姜、大枣]]<br>###主治::[[气血不足，心神不宁]]证。神思恍惚，心悸易惊，失眠健忘，舌淡苔白，脉细弱<br>###功用::[[补益气血，养心安神]]",用法::上粗末，每服三钱，姜五片，大枣二枚，煎，食前服<br>###注意::本方出自《仁斋直指方论》，另《古今医统大全》也有“养心汤”，组成为当归身、生地黄、熟地黄、茯神、人参、麦门冬、五味子、柏子仁、酸枣仁、炙甘草。功用养血滋阴，宁心安神。主治阴血不足，心神失养之失眼心悸
recveFKWJumW3a,"<div style=""text-align: center; font-size: 24px;""><b>黄连阿胶汤</b></div>",安神剂::交通心肾剂,"方歌::[[黄连阿胶鸡子黄]],[[黄芩白芍合成方]]。<br>[[水亏火炽烦不卧]],[[滋阴降火心神安]]<br>###组成::[[黄连、黄芩、芍药、鸡子黄、阿胶]]<br>###主治::[[阴虚火旺，心肾不交]]证。心中烦热，失眠不得卧，口燥咽干，舌红苔少，脉细数<br>###功用::[[滋阴降火，除烦安神，交通心肾]]",用法::上五味，以水六升，先煮三物，取二升，去滓，内胶烊尽，小冷，内鸡子黄，搅令相得，温服七合，日三服<br>###方解::<b>「君」：</b>黄连苦寒人心，清降心火；阿胶甘平入肾，滋阴补血。二药相伍，降心火，滋肾阴，使心火降、肾水旺，水火共济，心神安宁<br><b>「臣」：</b>黄芩苦寒，助黄连清热泻火；芍药酸甘，养血滋阴，助阿胶滋补肾水<br><b>「佐」：</b>鸡子黄上以养心，下以补肾，并能安中
recveFKWJuZnVN,"<div style=""text-align: center; font-size: 24px;""><b>交泰丸</b></div>",安神剂::交通心肾剂,"方歌::[[交泰心肾不交丸]],[[一份桂心十份连]]。<br>[[怔忡不寐心阳亢]],[[心肾交时自可安]]<br>###组成::[[「川黄连」、肉桂心]]<br>###主治::[[心火偏亢，心肾不交]]证。怔忡不宁，或夜寐不安，口舌生疮<br>###功用::[[交通心肾，清火安神]]",用法::上为末，炼蜜为丸，空心淡盐水送下
recveFKWJumCiP,"<div style=""text-align: center; font-size: 24px;""><b>安宫牛黄丸</b></div>",开窍剂::凉开剂,"方歌::[[安宫牛黄开窍方]],[[岑连栀郁朱雄黄]]。<br>[[犀角珍珠冰麝箔]],[[热闭心包功效良]]<br>###组成::[[牛黄、郁金、犀角、黄连、黄芩、山栀、朱砂、雄黄、梅片、麝香、珍珠(金箔衣)]]<br>###主治::1.[[邪热内陷心包]]证。高热烦躁，神昏谵语，口干舌燥，或舌謇肢厥，舌红或绛，脉数<br>2.亦治[[中风昏迷，小儿惊厥，属邪热内闭]]者<br>###功用::[[清热解毒，豁痰开窍(醒神)]]",用法::上为极细末，炼老蜜为丸，每九一钱，金箔为衣，蜡护。脉虚者人参汤下(取人参补气扶正，托邪外出)，脉实者银花、薄荷汤下(增强清热透散之力)，每服一丸。大人病重体实者，日再服，甚至日三服；小儿服半丸，不知，再服半丸<br>###注意::原书在用法中指出:“脉虚者，人参汤下。”脉虚为正不胜邪之兆，取人参补气扶正、托邪外出之功，此时应严密观察病情的变化，慎防其由闭转脱；“脉实者，银花、薄荷汤下”，是增强其清热透散之效。《温病条辨》清宫汤煎汤送服本方，可加强清心解毒之力。本方孕妇慎用<br>###特点::鉴别：至宝丹与安宫牛黄丸、紫雪皆为凉开之常用方，有清热开窍作用，合称“凉开三宝”。相比而言，“安宫牛黄丸最凉，紫雪次之，至宝又次之”。安宫牛黄丸长于清热解毒，适于痰热偏盛而神昏较重者；紫雪长于息风止痉，适于热闭神昏而见痉厥抽搐者；至宝丹长于芳香开窍，化浊辟秽，适于痰浊偏盛而热邪略轻者。
